img url,command
https://i.postimg.cc/pVmC6ySQ/1.png,请找出与绿色物体有相同形状的黄色物体。
https://i.postimg.cc/4nCm8WS0/2.png,请找出与方块有相同颜色的物体。
https://i.postimg.cc/2jgGRrps/3.png,请找出与黄色物品有相同形状的红色物体。
https://i.postimg.cc/TYm9TFfp/4.png,请找出与黄色物品有相同形状的物品。
https://i.postimg.cc/DwTc06w5/5.png,请找出与灰色物品有相同形状的红色物体。
https://i.postimg.cc/y8cFzZh9/6.png,请找出与球有相同颜色的圆柱体。
https://i.postimg.cc/Jh8j7zKF/7.png,请找出与绿色物体有相同形状的灰色物品。
https://i.postimg.cc/XJH5gc3M/8.png,请找出与绿色物体有相同形状的灰色物品。
https://i.postimg.cc/jjhPDYFS/9.png,请找出与多面体有相同颜色的圆锥。
https://i.postimg.cc/DZyssp9d/10.png,请找出与蓝色物体有相同形状的红色物体。
https://i.postimg.cc/cCvnkg4v/11.png,请找出与多面体有相同颜色的方块。
https://i.postimg.cc/pr3nwWpq/12.png,请找出与圆柱体有相同颜色的多面体。
https://i.postimg.cc/kMH86cfK/13.png,请找出与绿色物品有相同形状的灰色物体。
https://i.postimg.cc/yYSRFZb5/14.png,请找出与圆锥有相同颜色的多面体。
https://i.postimg.cc/vZFVXmRm/15.png,请找出与方块有相同颜色的多面体。
https://i.postimg.cc/jSHJ1rK4/16.png,请找出与灰色物品有相同形状的黄色物品。
https://i.postimg.cc/25CBRXSR/17.png,请找出与蓝色物品有相同形状的物品。
https://i.postimg.cc/TPQ5RqKy/18.png,请找出与绿色物品有相同形状的物品。
https://i.postimg.cc/qRRhghK1/19.png,请找出与红色物品有相同形状的绿色物品。
https://i.postimg.cc/gJTwhzqm/20.png,请找出与多面体有相同颜色的圆锥体。
