img url,comand
https://i.postimg.cc/vmqfPTGX/1.png,请找出在大尺寸绿色物品后边的蓝色物体。
https://i.postimg.cc/tTsP8bTb/2.png,请找出在小型绿色物体右方的红色物体。
https://i.postimg.cc/wvnJprym/3.png,请找出在小型红色物品后边的大体积蓝色物品。
https://i.postimg.cc/CMfkNwXH/4.png,请找出在小号红色物体前边的小型黄色物品。
https://i.postimg.cc/brbnNRkF/5.png,请找出在小尺寸蓝色物品后边的蓝色物体。
https://i.postimg.cc/RV5fpjzr/6.png,请找出在小尺寸蓝色物品后边的蓝色物体。
https://i.postimg.cc/28QWs2z1/7.png,请找出在小号蓝色物体右边的红色物体。
https://i.postimg.cc/Sxm9kCsD/8.png,请找出在小体积红色物品前边的绿色物品。
https://i.postimg.cc/dVny13Zv/9.png,请找出在小号蓝色物品后边的黄色物品。
https://i.postimg.cc/HLx77mbM/10.png,请找出在小体积绿色物体后边的黄色物体。
https://i.postimg.cc/LsbgtWVb/11.png,请找出在小体积蓝色物品左侧的小型物体。
https://i.postimg.cc/C1nBm4PL/12.png,请找出在小体积红色物品后边的蓝色物品。
https://i.postimg.cc/yxqJ5Sth/13.png,请找出在大型蓝色物品后边的大型红色物品。
https://i.postimg.cc/yxFJz8CM/14.png,请找出在大号灰色物体右方的小尺寸物体。
https://i.postimg.cc/TY6LJgrf/15.png,请找出在大尺寸黄色物体前边的小体积黄色物品。
https://i.postimg.cc/jd4Wg2XN/16.png,请找出在大尺寸蓝色物体右边的大号物体。
https://i.postimg.cc/529XZJ7r/17.png,请找出在小体积绿色物体前边的绿色物体。
https://i.postimg.cc/NjNKtnZj/18.png,请找出在大体积灰色物体前边的红色物品。
https://i.postimg.cc/yNkk8PzX/19.png,请找出在大尺寸蓝色物品前边的小体积绿色物体。
https://i.postimg.cc/KYw4kMGX/20.png,请找出在灰色物品前边的小型红色物体。
