img url,command,new_command_max_distance
https://i.postimg.cc/qqXqZLzH/1.png,请找出黄色球体。,请找出11号物体左边的黄色球体。
https://i.postimg.cc/4yTn5M41/2.png,请找出黄色多面体。,请找出19号物体左边的黄色多面体。
https://i.postimg.cc/HWQrxp3v/3.png,请找出灰色多面体。,请找出17号物体左边的灰色多面体。
https://i.postimg.cc/zDRnkZ7T/4.png,请找出红色多面体。,请找出8号物体左边的红色多面体。
https://i.postimg.cc/ZKt677s2/5.png,请找出黄色多面体。,请找出10号物体左边的黄色多面体。
https://i.postimg.cc/c4RwVRVH/6.png,请找出红色多面体。,请找出15号物体右边的红色多面体。
https://i.postimg.cc/jSRPKWbh/7.png,请找出黄色球。,请找出4号物体右边的黄色球。
https://i.postimg.cc/7ZX7LxPr/8.png,请找出灰色正方体。,请找出8号物体右边的灰色正方体。
https://i.postimg.cc/YS9FGJjG/9.png,请找出黄色圆锥体。,请找出14号物体左边的黄色圆锥体。
https://i.postimg.cc/d1ZTnr2J/10.png,请找出灰色圆锥。,请找出19号物体左边的灰色圆锥。
https://i.postimg.cc/pd6FDqn0/11.png,请找出灰色圆柱体。,请找出12号物体左边的灰色圆柱体。
https://i.postimg.cc/T185s10g/12.png,请找出黄色多面体。,请找出15号物体右边的黄色多面体。
https://i.postimg.cc/nV7DDKVk/13.png,请找出蓝色多面体。,请找出13号物体左边的蓝色多面体。
https://i.postimg.cc/28DBFqVf/14.png,请找出蓝色球。,请找出8号物体左边的蓝色球。
https://i.postimg.cc/jd4n8s7n/15.png,请找出灰色圆柱体。,请找出13号物体右边的灰色圆柱体。
https://i.postimg.cc/7ZPGdp3s/16.png,请找出黄色圆柱体。,请找出7号物体左边的黄色圆柱体。
https://i.postimg.cc/FHPd4DG9/17.png,请找出绿色方块。,请找出19号物体左边的绿色方块。
https://i.postimg.cc/KYRKvBst/18.png,请找出蓝色立方体。,请找出7号物体右边的蓝色立方体。
https://i.postimg.cc/N0SKyFWS/19.png,请找出灰色圆柱体。,请找出5号物体右边的灰色圆柱体。
https://i.postimg.cc/63ZyCwK3/20.png,请找出蓝色圆锥。,请找出12号物体右边的蓝色圆锥。
